county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Alameda,2019/20,NSMHS,70056.0,
Alameda,2019/20,SMHS,35606.0,
Alameda,2020/21,NSMHS,71639.0,1.3
Alameda,2020/21,SMHS,35394.0,1.3
Alameda,2021/22,NSMHS,72539.0,1.1
Alameda,2021/22,SMHS,35675.0,1.1
Alameda,2022/23,NSMHS,77696.0,5.08
Alameda,2022/23,SMHS,36019.0,5.08
Alpine,2019/20,NSMHS,14.0,
Alpine,2019/20,SMHS,0.0,
Alpine,2020/21,NSMHS,13.0,-7.14
Alpine,2020/21,SMHS,0.0,-7.14
Alpine,2021/22,NSMHS,0.0,123.08
Alpine,2021/22,SMHS,29.0,123.08
Alpine,2022/23,NSMHS,12.0,-58.62
Alpine,2022/23,SMHS,0.0,-58.62
Amador,2019/20,NSMHS,1652.0,
Amador,2019/20,SMHS,1530.0,
Amador,2020/21,NSMHS,1676.0,2.23
Amador,2020/21,SMHS,1577.0,2.23
Amador,2021/22,NSMHS,1861.0,13.43
Amador,2021/22,SMHS,1829.0,13.43
Amador,2022/23,NSMHS,1945.0,3.66
Amador,2022/23,SMHS,1880.0,3.66
Butte,2019/20,NSMHS,20781.0,
Butte,2019/20,SMHS,12485.0,
Butte,2020/21,NSMHS,23150.0,3.28
Butte,2020/21,SMHS,11207.0,3.28
Butte,2021/22,NSMHS,23077.0,-3.79
Butte,2021/22,SMHS,9978.0,-3.79
Butte,2022/23,NSMHS,23152.0,0.21
Butte,2022/23,SMHS,9974.0,0.21
Calaveras,2019/20,NSMHS,2557.0,
Calaveras,2019/20,SMHS,1677.0,
Calaveras,2020/21,NSMHS,2828.0,9.8
Calaveras,2020/21,SMHS,1821.0,9.8
Calaveras,2021/22,NSMHS,2880.0,0.58
Calaveras,2021/22,SMHS,1796.0,0.58
Calaveras,2022/23,NSMHS,2956.0,4.17
Calaveras,2022/23,SMHS,1915.0,4.17
Colusa,2019/20,NSMHS,758.0,
Colusa,2019/20,SMHS,1043.0,
Colusa,2020/21,NSMHS,997.0,16.1
Colusa,2020/21,SMHS,1094.0,16.1
Colusa,2021/22,NSMHS,1194.0,8.03
Colusa,2021/22,SMHS,1065.0,8.03
Colusa,2022/23,NSMHS,2119.0,46.61
Colusa,2022/23,SMHS,1193.0,46.61
Contra Costa,2019/20,NSMHS,38379.0,
Contra Costa,2019/20,SMHS,24541.0,
Contra Costa,2020/21,NSMHS,40386.0,6.51
Contra Costa,2020/21,SMHS,26627.0,6.51
Contra Costa,2021/22,NSMHS,47037.0,11.44
Contra Costa,2021/22,SMHS,27640.0,11.44
Contra Costa,2022/23,NSMHS,51112.0,3.37
Contra Costa,2022/23,SMHS,26084.0,3.37
Del Norte,2019/20,NSMHS,3475.0,
Del Norte,2019/20,SMHS,1782.0,
Del Norte,2020/21,NSMHS,3635.0,1.41
Del Norte,2020/21,SMHS,1696.0,1.41
Del Norte,2021/22,NSMHS,3642.0,-4.09
Del Norte,2021/22,SMHS,1471.0,-4.09
Del Norte,2022/23,NSMHS,3514.0,-3.68
