county,fiscal_year,beneficiaries,sex
Alameda,2019/20,60486.0,Female
Alameda,2020/21,63399.0,Female
Alameda,2021/22,64393.0,Female
Alameda,2022/23,67903.0,Female
Alpine,2019/20,0.0,Female
Alpine,2020/21,0.0,Female
Alpine,2021/22,0.0,Female
Alpine,2022/23,0.0,Female
Amador,2019/20,1958.0,Female
Amador,2020/21,2077.0,Female
Amador,2021/22,2371.0,Female
Amador,2022/23,2555.0,Female
Butte,2019/20,20264.0,Female
Butte,2020/21,21484.0,Female
Butte,2021/22,20734.0,Female
Butte,2022/23,20850.0,Female
Calaveras,2019/20,2627.0,Female
Calaveras,2020/21,2863.0,Female
Calaveras,2021/22,2937.0,Female
Calaveras,2022/23,3119.0,Female
Colusa,2019/20,1100.0,Female
Colusa,2020/21,1258.0,Female
Colusa,2021/22,1474.0,Female
Colusa,2022/23,2166.0,Female
Contra Costa,2019/20,38595.0,Female
Contra Costa,2020/21,41404.0,Female
Contra Costa,2021/22,46894.0,Female
Contra Costa,2022/23,49442.0,Female
Del Norte,2019/20,3110.0,Female
Del Norte,2020/21,3152.0,Female
Del Norte,2021/22,3113.0,Female
Del Norte,2022/23,3045.0,Female
El Dorado,2019/20,8176.0,Female
El Dorado,2020/21,8225.0,Female
El Dorado,2021/22,8090.0,Female
El Dorado,2022/23,8105.0,Female
Fresno,2019/20,65703.0,Female
Fresno,2020/21,70812.0,Female
Fresno,2021/22,69672.0,Female
Fresno,2022/23,71660.0,Female
Glenn,2019/20,2305.0,Female
Glenn,2020/21,2447.0,Female
Glenn,2021/22,2386.0,Female
Glenn,2022/23,2411.0,Female
Humboldt,2019/20,15091.0,Female
Humboldt,2020/21,16839.0,Female
Humboldt,2021/22,17537.0,Female
Humboldt,2022/23,18174.0,Female
Imperial,2019/20,13939.0,Female
Imperial,2020/21,14574.0,Female
Imperial,2021/22,15405.0,Female
Imperial,2022/23,16213.0,Female
Inyo,2019/20,1025.0,Female
Inyo,2020/21,1116.0,Female
Inyo,2021/22,964.0,Female
Inyo,2022/23,1021.0,Female
Kern,2019/20,63866.0,Female
Kern,2020/21,68591.0,Female
Kern,2021/22,76461.0,Female
Kern,2022/23,85049.0,Female
Kings,2019/20,10330.0,Female
Kings,2020/21,10251.0,Female
Kings,2021/22,10059.0,Female
Kings,2022/23,10330.0,Female
Lake,2019/20,7666.0,Female
Lake,2020/21,7965.0,Female
Lake,2021/22,8630.0,Female
Lake,2022/23,9129.0,Female
Lassen,2019/20,2124.0,Female
Lassen,2020/21,2373.0,Female
Lassen,2021/22,2113.0,Female
Lassen,2022/23,2332.0,Female
Los Angeles,2019/20,492246.0,Female
Los Angeles,2020/21,502516.0,Female
Los Angeles,2021/22,537932.0,Female
Los Angeles,2022/23,611407.0,Female
Madera,2019/20,10760.0,Female
Madera,2020/21,19024.0,Female
Madera,2021/22,14625.0,Female
Madera,2022/23,16605.0,Female
Marin,2019/20,10345.0,Female
Marin,2020/21,11556.0,Female
Marin,2021/22,13433.0,Female
Marin,2022/23,12705.0,Female
Mariposa,2019/20,1452.0,Female
Mariposa,2020/21,1479.0,Female
Mariposa,2021/22,1476.0,Female
Mariposa,2022/23,1469.0,Female
Mendocino,2019/20,11225.0,Female
Mendocino,2020/21,10781.0,Female
Mendocino,2021/22,11128.0,Female
Mendocino,2022/23,11838.0,Female
Merced,2019/20,18631.0,Female
Merced,2020/21,20070.0,Female
Merced,2021/22,20638.0,Female
Merced,2022/23,22944.0,Female
Modoc,2019/20,985.0,Female
Modoc,2020/21,923.0,Female
Modoc,2021/22,908.0,Female
Modoc,2022/23,1011.0,Female
Mono,2019/20,374.0,Female
Mono,2020/21,390.0,Female
Mono,2021/22,501.0,Female
Mono,2022/23,579.0,Female
Monterey,2019/20,26186.0,Female
Monterey,2020/21,26682.0,Female
Monterey,2021/22,26512.0,Female
Monterey,2022/23,29424.0,Female
Napa,2019/20,5654.0,Female
Napa,2020/21,5667.0,Female
Napa,2021/22,6335.0,Female
Napa,2022/23,6663.0,Female
Nevada,2019/20,7433.0,Female
Nevada,2020/21,8251.0,Female
Nevada,2021/22,8310.0,Female
Nevada,2022/23,9574.0,Female
Orange,2019/20,133681.0,Female
Orange,2020/21,127208.0,Female
Orange,2021/22,141053.0,Female
Orange,2022/23,161694.0,Female
Placer,2019/20,12309.0,Female
Placer,2020/21,13477.0,Female
Placer,2021/22,13499.0,Female
Placer,2022/23,14612.0,Female
Plumas,2019/20,1549.0,Female
Plumas,2020/21,1394.0,Female
Plumas,2021/22,1430.0,Female
Plumas,2022/23,1321.0,Female
Riverside,2019/20,137640.0,Female
Riverside,2020/21,147069.0,Female
Riverside,2021/22,166613.0,Female
Riverside,2022/23,197442.0,Female
Sacramento,2019/20,98482.0,Female
Sacramento,2020/21,101155.0,Female
Sacramento,2021/22,101057.0,Female
Sacramento,2022/23,106842.0,Female
San Benito,2019/20,2091.0,Female
San Benito,2020/21,2233.0,Female
San Benito,2021/22,2183.0,Female
San Benito,2022/23,2316.0,Female
San Bernardino,2019/20,139592.0,Female
San Bernardino,2020/21,144220.0,Female
San Bernardino,2021/22,158722.0,Female
