county,fiscal_year,beneficiaries,race_ethnicity
Alameda,2019/20,351.0,Native American
Alameda,2020/21,385.0,Native American
Alameda,2021/22,396.0,Native American
Alameda,2022/23,349.0,Native American
Alpine,2019/20,0.0,Native American
Alpine,2020/21,0.0,Native American
Alpine,2021/22,0.0,Native American
Alpine,2022/23,0.0,Native American
Amador,2019/20,0.0,Native American
Amador,2020/21,18.0,Native American
Amador,2021/22,37.0,Native American
Amador,2022/23,31.0,Native American
Butte,2019/20,596.0,Native American
Butte,2020/21,551.0,Native American
Butte,2021/22,553.0,Native American
Butte,2022/23,511.0,Native American
Calaveras,2019/20,50.0,Native American
Calaveras,2020/21,49.0,Native American
Calaveras,2021/22,46.0,Native American
Calaveras,2022/23,50.0,Native American
Colusa,2019/20,0.0,Native American
Colusa,2020/21,0.0,Native American
Colusa,2021/22,0.0,Native American
Colusa,2022/23,0.0,Native American
Contra Costa,2019/20,266.0,Native American
Contra Costa,2020/21,246.0,Native American
Contra Costa,2021/22,226.0,Native American
Contra Costa,2022/23,228.0,Native American
Del Norte,2019/20,313.0,Native American
Del Norte,2020/21,391.0,Native American
Del Norte,2021/22,400.0,Native American
Del Norte,2022/23,391.0,Native American
El Dorado,2019/20,59.0,Native American
El Dorado,2020/21,90.0,Native American
El Dorado,2021/22,102.0,Native American
El Dorado,2022/23,99.0,Native American
Fresno,2019/20,1163.0,Native American
Fresno,2020/21,1147.0,Native American
Fresno,2021/22,1131.0,Native American
Fresno,2022/23,1020.0,Native American
Glenn,2019/20,46.0,Native American
Glenn,2020/21,39.0,Native American
Glenn,2021/22,41.0,Native American
Glenn,2022/23,37.0,Native American
Humboldt,2019/20,1348.0,Native American
Humboldt,2020/21,1597.0,Native American
Humboldt,2021/22,1556.0,Native American
Humboldt,2022/23,1615.0,Native American
Imperial,2019/20,44.0,Native American
Imperial,2020/21,70.0,Native American
Imperial,2021/22,41.0,Native American
Imperial,2022/23,32.0,Native American
Inyo,2019/20,214.0,Native American
Inyo,2020/21,232.0,Native American
Inyo,2021/22,196.0,Native American
Inyo,2022/23,268.0,Native American
Kern,2019/20,321.0,Native American
Kern,2020/21,486.0,Native American
Kern,2021/22,418.0,Native American
Kern,2022/23,450.0,Native American
Kings,2019/20,52.0,Native American
Kings,2020/21,24.0,Native American
Kings,2021/22,42.0,Native American
Kings,2022/23,30.0,Native American
Lake,2019/20,227.0,Native American
Lake,2020/21,277.0,Native American
Lake,2021/22,268.0,Native American
Lake,2022/23,346.0,Native American
Lassen,2019/20,97.0,Native American
Lassen,2020/21,127.0,Native American
Lassen,2021/22,117.0,Native American
Lassen,2022/23,120.0,Native American
Los Angeles,2019/20,2536.0,Native American
Los Angeles,2020/21,2208.0,Native American
Los Angeles,2021/22,2387.0,Native American
Los Angeles,2022/23,2645.0,Native American
Madera,2019/20,157.0,Native American
Madera,2020/21,150.0,Native American
Madera,2021/22,104.0,Native American
Madera,2022/23,64.0,Native American
