county,fiscal_year,beneficiaries,age_group
Alameda,2019/20,29798.0,21-32
Alameda,2020/21,31732.0,21-32
Alameda,2021/22,32589.0,21-32
Alameda,2022/23,33668.0,21-32
Alpine,2019/20,0.0,21-32
Alpine,2020/21,0.0,21-32
Alpine,2021/22,0.0,21-32
Alpine,2022/23,0.0,21-32
Amador,2019/20,819.0,21-32
Amador,2020/21,914.0,21-32
Amador,2021/22,929.0,21-32
Amador,2022/23,947.0,21-32
Butte,2019/20,9321.0,21-32
Butte,2020/21,10282.0,21-32
Butte,2021/22,9979.0,21-32
Butte,2022/23,10109.0,21-32
Calaveras,2019/20,1022.0,21-32
Calaveras,2020/21,1217.0,21-32
Calaveras,2021/22,1188.0,21-32
Calaveras,2022/23,1251.0,21-32
Colusa,2019/20,542.0,21-32
Colusa,2020/21,578.0,21-32
Colusa,2021/22,640.0,21-32
Colusa,2022/23,997.0,21-32
Contra Costa,2019/20,19428.0,21-32
Contra Costa,2020/21,21706.0,21-32
Contra Costa,2021/22,24067.0,21-32
Contra Costa,2022/23,24317.0,21-32
Del Norte,2019/20,1291.0,21-32
Del Norte,2020/21,1401.0,21-32
Del Norte,2021/22,1318.0,21-32
Del Norte,2022/23,1340.0,21-32
El Dorado,2019/20,3620.0,21-32
El Dorado,2020/21,4036.0,21-32
El Dorado,2021/22,3861.0,21-32
El Dorado,2022/23,3949.0,21-32
Fresno,2019/20,36049.0,21-32
Fresno,2020/21,38975.0,21-32
Fresno,2021/22,39026.0,21-32
Fresno,2022/23,39510.0,21-32
Glenn,2019/20,980.0,21-32
Glenn,2020/21,1011.0,21-32
Glenn,2021/22,1076.0,21-32
Glenn,2022/23,1061.0,21-32
Humboldt,2019/20,7633.0,21-32
Humboldt,2020/21,9093.0,21-32
Humboldt,2021/22,9346.0,21-32
Humboldt,2022/23,9313.0,21-32
Imperial,2019/20,5672.0,21-32
Imperial,2020/21,6207.0,21-32
Imperial,2021/22,6546.0,21-32
Imperial,2022/23,6921.0,21-32
Inyo,2019/20,464.0,21-32
Inyo,2020/21,523.0,21-32
Inyo,2021/22,470.0,21-32
Inyo,2022/23,461.0,21-32
Kern,2019/20,32368.0,21-32
Kern,2020/21,36156.0,21-32
Kern,2021/22,40410.0,21-32
Kern,2022/23,43751.0,21-32
Kings,2019/20,4881.0,21-32
Kings,2020/21,5101.0,21-32
Kings,2021/22,5145.0,21-32
Kings,2022/23,5077.0,21-32
Lake,2019/20,2777.0,21-32
Lake,2020/21,2914.0,21-32
Lake,2021/22,3118.0,21-32
Lake,2022/23,3465.0,21-32
Lassen,2019/20,1135.0,21-32
Lassen,2020/21,1326.0,21-32
Lassen,2021/22,1090.0,21-32
Lassen,2022/23,1141.0,21-32
Los Angeles,2019/20,248205.0,21-32
Los Angeles,2020/21,265298.0,21-32
Los Angeles,2021/22,288797.0,21-32
Los Angeles,2022/23,312539.0,21-32
Madera,2019/20,5364.0,21-32
Madera,2020/21,9898.0,21-32
Madera,2021/22,8304.0,21-32
Madera,2022/23,8894.0,21-32
Marin,2019/20,4069.0,21-32
Marin,2020/21,4746.0,21-32
Marin,2021/22,5703.0,21-32
Marin,2022/23,5181.0,21-32
Mariposa,2019/20,490.0,21-32
Mariposa,2020/21,587.0,21-32
Mariposa,2021/22,589.0,21-32
Mariposa,2022/23,552.0,21-32
Mendocino,2019/20,5072.0,21-32
Mendocino,2020/21,4863.0,21-32
Mendocino,2021/22,4913.0,21-32
Mendocino,2022/23,5053.0,21-32
Merced,2019/20,9669.0,21-32
Merced,2020/21,10519.0,21-32
Merced,2021/22,11152.0,21-32
Merced,2022/23,12035.0,21-32
Modoc,2019/20,268.0,21-32
Modoc,2020/21,298.0,21-32
Modoc,2021/22,261.0,21-32
Modoc,2022/23,358.0,21-32
Mono,2019/20,249.0,21-32
Mono,2020/21,259.0,21-32
Mono,2021/22,437.0,21-32
Mono,2022/23,295.0,21-32
Monterey,2019/20,14388.0,21-32
Monterey,2020/21,14901.0,21-32
Monterey,2021/22,15256.0,21-32
Monterey,2022/23,16463.0,21-32
Napa,2019/20,2654.0,21-32
Napa,2020/21,3049.0,21-32
Napa,2021/22,3225.0,21-32
Napa,2022/23,3100.0,21-32
Nevada,2019/20,3303.0,21-32
Nevada,2020/21,3906.0,21-32
Nevada,2021/22,3803.0,21-32
Nevada,2022/23,4124.0,21-32
Orange,2019/20,69406.0,21-32
Orange,2020/21,70167.0,21-32
Orange,2021/22,77971.0,21-32
Orange,2022/23,84753.0,21-32
Placer,2019/20,6189.0,21-32
Placer,2020/21,6854.0,21-32
Placer,2021/22,7008.0,21-32
Placer,2022/23,7179.0,21-32
Plumas,2019/20,702.0,21-32
Plumas,2020/21,651.0,21-32
Plumas,2021/22,683.0,21-32
Plumas,2022/23,620.0,21-32
Riverside,2019/20,72569.0,21-32
Riverside,2020/21,81952.0,21-32
Riverside,2021/22,91298.0,21-32
Riverside,2022/23,103124.0,21-32
Sacramento,2019/20,48995.0,21-32
Sacramento,2020/21,51872.0,21-32
Sacramento,2021/22,51723.0,21-32
Sacramento,2022/23,52529.0,21-32
San Benito,2019/20,1065.0,21-32
San Benito,2020/21,1214.0,21-32
San Benito,2021/22,1308.0,21-32
San Benito,2022/23,1320.0,21-32
San Bernardino,2019/20,73917.0,21-32
San Bernardino,2020/21,79541.0,21-32
San Bernardino,2021/22,89154.0,21-32
San Bernardino,2022/23,97120.0,21-32
San Diego,2019/20,88901.0,21-32
San Diego,2020/21,93101.0,21-32
San Diego,2021/22,102127.0,21-32
San Diego,2022/23,110587.0,21-32
San Francisco,2019/20,13749.0,21-32
San Francisco,2020/21,15089.0,21-32
San Francisco,2021/22,15892.0,21-32
San Francisco,2022/23,16498.0,21-32
San Joaquin,2019/20,30683.0,21-32
San Joaquin,2020/21,33299.0,21-32
San Joaquin,2021/22,31635.0,21-32
San Joaquin,2022/23,34738.0,21-32
San Luis Obispo,2019/20,7614.0,21-32
San Luis Obispo,2020/21,9465.0,21-32
San Luis Obispo,2021/22,9525.0,21-32
San Luis Obispo,2022/23,10492.0,21-32
San Mateo,2019/20,11926.0,21-32
San Mateo,2020/21,12204.0,21-32
San Mateo,2021/22,13203.0,21-32
San Mateo,2022/23,13689.0,21-32
Santa Barbara,2019/20,11562.0,21-32
Santa Barbara,2020/21,14743.0,21-32
Santa Barbara,2021/22,15075.0,21-32
Santa Barbara,2022/23,16622.0,21-32
Santa Clara,2019/20,24242.0,21-32
Santa Clara,2020/21,28516.0,21-32
Santa Clara,2021/22,30874.0,21-32
Santa Clara,2022/23,31337.0,21-32
Santa Cruz,2019/20,9683.0,21-32
Santa Cruz,2020/21,9740.0,21-32
Santa Cruz,2021/22,9994.0,21-32
Santa Cruz,2022/23,10338.0,21-32
Shasta,2019/20,9149.0,21-32
Shasta,2020/21,9281.0,21-32
Shasta,2021/22,9309.0,21-32
Shasta,2022/23,9961.0,21-32
Sierra,2019/20,0.0,21-32
Sierra,2020/21,0.0,21-32
Sierra,2021/22,0.0,21-32
Sierra,2022/23,0.0,21-32
Siskiyou,2019/20,2052.0,21-32
Siskiyou,2020/21,2125.0,21-32
Siskiyou,2021/22,2039.0,21-32
Siskiyou,2022/23,1912.0,21-32
Small-Rural Counties,2019/20,10951.0,21-32
Small-Rural Counties,2020/21,11927.0,21-32
Small-Rural Counties,2021/22,11738.0,21-32
Small-Rural Counties,2022/23,12015.0,21-32
Solano,2019/20,11542.0,21-32
Solano,2020/21,12734.0,21-32
