county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct,dominant_sex,dominant_race,dominant_age_group
Alameda,2019/20,Total,105662.0,,Female,Black,21-32
Alameda,2020/21,Total,107033.0,1.3,Female,Black,21-32
Alameda,2021/22,Total,108214.0,1.1,Female,Black,21-32
Alameda,2022/23,Total,113715.0,5.08,Female,Black,21-32
Alpine,2019/20,Total,14.0,,Female,Black,21-32
Alpine,2020/21,Total,13.0,-7.14,Female,Black,21-32
Alpine,2021/22,Total,29.0,123.08,Female,Black,21-32
Alpine,2022/23,Total,12.0,-58.62,Female,Black,21-32
Amador,2019/20,Total,3182.0,,Female,White,33-44
Amador,2020/21,Total,3253.0,2.23,Female,White,33-44
Amador,2021/22,Total,3690.0,13.43,Female,White,33-44
Amador,2022/23,Total,3825.0,3.66,Female,White,33-44
Butte,2019/20,Total,33266.0,,Female,White,21-32
Butte,2020/21,Total,34357.0,3.28,Female,White,21-32
Butte,2021/22,Total,33055.0,-3.79,Female,White,21-32
Butte,2022/23,Total,33126.0,0.21,Female,White,21-32
Calaveras,2019/20,Total,4234.0,,Female,White,33-44
Calaveras,2020/21,Total,4649.0,9.8,Female,White,33-44
Calaveras,2021/22,Total,4676.0,0.58,Female,White,33-44
Calaveras,2022/23,Total,4871.0,4.17,Female,White,33-44
Colusa,2019/20,Total,1801.0,,Female,Hispanic,21-32
Colusa,2020/21,Total,2091.0,16.1,Female,Hispanic,21-32
Colusa,2021/22,Total,2259.0,8.03,Female,Hispanic,21-32
Colusa,2022/23,Total,3312.0,46.61,Female,Hispanic,21-32
Contra Costa,2019/20,Total,62920.0,,Female,White,21-32
Contra Costa,2020/21,Total,67013.0,6.51,Female,White,21-32
Contra Costa,2021/22,Total,74677.0,11.44,Female,White,21-32
Contra Costa,2022/23,Total,77196.0,3.37,Female,White,21-32
Del Norte,2019/20,Total,5257.0,,Female,White,33-44
Del Norte,2020/21,Total,5331.0,1.41,Female,White,33-44
Del Norte,2021/22,Total,5113.0,-4.09,Female,White,33-44
Del Norte,2022/23,Total,4925.0,-3.68,Female,White,33-44
El Dorado,2019/20,Total,13175.0,,Female,White,33-44
El Dorado,2020/21,Total,13461.0,2.17,Female,White,33-44
El Dorado,2021/22,Total,13080.0,-2.83,Female,White,33-44
El Dorado,2022/23,Total,13475.0,3.02,Female,White,33-44
